paper_name,libero_goal,libero_goal_prev_sota,delta_libero_goal,P_A,Delta_necessary,Delta_sufficient,delta_bin
RoboNeuron: A Middle-Layer Infrastructure for Agent-Driven Orchestration in Embodied AI,97.6,97.2,0.0040000000000000036,0.972,0.006,0.016,not_significant
Robotic VLA Benefits from Joint Learning with Motion Image Diffusion,96.0,98.0,-0.020000000000000018,0.98,0.006,0.014,negative
RynnVLA-002: A Unified Vision-Language-Action and World Model,96.4,97.9,-0.015000000000000013,0.98,0.006,0.014,negative
Saliency-Aware Quantized Imitation Learning for Efficient Robotic Control,76.3,76.6,-0.0029999999999998916,0.766,0.006,0.05,negative
Self-Improving Vision-Language-Action Models with Data Generation via Residual RL,98.9,87.4,0.11499999999999999,0.874,0.006,0.036,certainly_significant
SemanticVLA: Semantic-Aligned Sparsification and Enhancement for Efficient Robotic Manipulation,97.6,97.9,-0.0030000000000001137,0.98,0.006,0.014,negative
SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning,99.2,95.8,0.03400000000000003,0.958,0.006,0.02,certainly_significant
SmolVLA: A Vision-Language-Action Model for Affordable and Efficient Robotics,92.0,95.0,-0.029999999999999916,0.95,0.006,0.022,negative
Spatial-Aware VLA Pretraining through Visual-Physical Alignment from Human Videos,94.2,94.0,0.002000000000000113,0.94,0.006,0.024,not_significant
Spatial Forcing: Implicit Spatial Representation Alignment for Vision-language-action Model,98.8,98.2,0.006000000000000005,0.982,0.006,0.012,possibly_significant
SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Model,78.6,84.6,-0.06000000000000005,0.846,0.006,0.04,negative
Spec-VLA: Speculative Decoding for Vision-Language-Action Models with Relaxed Acceptance,74.4,78.0,-0.03599999999999992,0.78,0.006,0.048,negative
SpecPrune-VLA: Accelerating Vision-Language-Action Models via Action-Aware Self-Speculative Pruning,97.7,97.9,-0.002000000000000113,0.98,0.006,0.014,negative
STAR: Learning Diverse Robot Skill Abstractions through Rotation-Augmented Vector Quantization,95.0,84.6,0.10399999999999998,0.846,0.006,0.04,certainly_significant
TGRPO: Fine-tuning Vision-Language-Action Model via Trajectory-wise Group Relative Policy Optimization,81.0,83.1,-0.020999999999999908,0.832,0.006,0.042,negative
"The Better You Learn, The Smarter You Prune: Towards Efficient Vision-language-action Models via Differentiable Token Pruning",98.2,95.8,0.02400000000000002,0.958,0.006,0.02,certainly_significant
"Think Twice, Act Once: Token-Aware Compression and Action Reuse for Efficient Inference in Vision-Language-Action Models",78.8,75.4,0.03399999999999992,0.754,0.006,0.05,possibly_significant
Token Expand-Merge: Training-Free Token Compression for Vision-Language-Action Models,97.0,97.9,-0.009000000000000119,0.98,0.006,0.014,negative
Unified Diffusion VLA: Vision-Language-Action Model via Joint Discrete Denoising Diffusion Process,91.2,91.6,-0.0039999999999998925,0.916,0.006,0.028,negative
Unified Vision-Language-Action Model,93.6,88.6,0.050000000000000044,0.886,0.006,0.034,certainly_significant
UniVLA: Learning to Act Anywhere with Task-centric Latent Actions,95.6,84.6,0.10999999999999999,0.846,0.006,0.04,certainly_significant
Verifier-free Test-Time Sampling for Vision Language Action Models,94.5,95.6,-0.01100000000000001,0.956,0.006,0.02,negative
VITA-VLA: Efficiently Teaching Vision-Language Models to Act via Action Expert Distillation,97.9,88.6,0.0930000000000002,0.886,0.006,0.034,certainly_significant
VLA-0: Building State-of-the-Art VLAs with Zero Modification,96.2,97.9,-0.017000000000000015,0.98,0.006,0.014,negative
VLA-Cache: Efficient Vision-Language-Action Manipulation via Adaptive Token Caching,98.3,97.6,0.007000000000000006,0.976,0.006,0.014,possibly_significant
VLA-Pruner: Temporal-Aware Dual-Level Visual Token Pruning for Efficient Vision-Language-Action Inference,96.8,96.7,0.0009999999999998899,0.968,0.006,0.018,not_significant
VLA-RFT: Vision-Language-Action Reinforcement Fine-tuning with Verified Rewards in World Simulators,95.4,93.8,0.016000000000000125,0.938,0.006,0.024,possibly_significant
VLA-RL: Towards Masterful and General Robotic Manipulation with Scalable Reinforcement Learning,82.2,88.6,-0.06399999999999983,0.886,0.006,0.034,negative
VQ-VLA: Improving Vision-Language-Action Models via Scaling Vector-Quantized Action Tokenizers,75.2,75.8,-0.006000000000000005,0.758,0.006,0.05,negative
WorldVLA: Towards Autoregressive Action World Model,83.4,95.5,-0.12099999999999989,0.956,0.006,0.02,negative
X-VLA: Soft-Prompted Transformer as Scalable Cross-Embodiment Vision-Language-Action Model,97.8,97.9,-0.001000000000000112,0.98,0.006,0.014,negative
"A1: A Fully Transparent Open-Source, Adaptive and Efficient Truncated Vision-Language-Action Model",97.6,98.0,-0.0040000000000000036,0.98,0.006,0.014,negative
AcceRL: A Distributed Asynchronous Reinforcement Learning and World Model Framework for Vision-Language-Action Models,98.8,99.2,-0.0040000000000000036,0.992,0.006,0.008,negative
ACoT-VLA: Action Chain-of-Thought for Vision-Language-Action Models,99.4,98.0,0.014000000000000123,0.98,0.006,0.014,certainly_significant
"Act, Think or Abstain: Complexity-Aware Adaptive Inference for Vision-Language-Action Models",86.67,83.33,0.033400000000000096,0.834,0.006,0.042,possibly_significant
Action Draft and Verify: A Self-Verifying Framework for Vision-Language-Action Model,98.2,96.6,0.016000000000000014,0.966,0.006,0.018,possibly_significant
ActionCodec: What Makes for Good Action Tokenizers,97.6,96.2,0.013999999999999901,0.962,0.006,0.018,possibly_significant
Adaptive Action Chunking at Inference-time for Vision-Language-Action Models,94.2,96.8,-0.025999999999999912,0.968,0.006,0.018,negative
ATA: Bridging Implicit Reasoning with Attention-Guided and Action-Guided Inference for Vision-Language Action Models,90.8,89.0,0.017999999999999905,0.89,0.006,0.034,possibly_significant
AtomicVLA: Unlocking the Potential of Atomic Skill Learning in Robots,97.2,98.0,-0.008000000000000007,0.98,0.006,0.014,negative
AtomVLA: Scalable Post-Training for Robotic Manipulation via Predictive Latent World Models,97.6,95.8,0.018000000000000016,0.958,0.006,0.02,possibly_significant
Beyond Dense Futures: World Models as Structured Planners for Robotic Manipulation,93.4,91.6,0.018000000000000127,0.916,0.006,0.028,possibly_significant
Causal World Modeling for Robot Control,97.2,97.9,-0.007000000000000117,0.98,0.006,0.014,negative
CF-VLA: Efficient Coarse-to-Fine Action Generation for Vision-Language-Action Policies,96.6,98.3,-0.017000000000000015,0.984,0.006,0.012,negative
Chain of World: World Model Thinking in Latent Motion,94.6,95.8,-0.01200000000000001,0.958,0.006,0.02,negative
CKT-WAM: Parameter-Efficient Context Knowledge Transfer Between World Action Models,98.6,98.2,0.0040000000000000036,0.982,0.006,0.012,not_significant
CLaD: Planning with Grounded Foresight via Cross-Modal Latent Dynamics,94.3,97.6,-0.03300000000000003,0.976,0.006,0.014,negative
CLAP: Contrastive Latent Action Pretraining for Learning Vision-Language-Action Models from Human Videos,93.0,95.0,-0.019999999999999907,0.95,0.006,0.022,negative
Conservative Offline Robot Policy Learning via Posterior-Transition Reweighting,97.6,98.6,-0.010000000000000009,0.986,0.006,0.01,negative
ConsisVLA-4D: Advancing Spatiotemporal Consistency in Efficient 3D-Perception and 4D-Reasoning for Robotic Manipulation,98.0,98.0,0.0,0.98,0.006,0.014,not_significant
CORAL: Scalable Multi-Task Robot Learning via LoRA Experts,99.0,98.6,0.0040000000000000036,0.986,0.006,0.01,not_significant
CorridorVLA: Explicit Spatial Constraints for Generative Action Heads via Sparse Anchors,90.8,95.0,-0.04200000000000004,0.95,0.006,0.022,negative
Cosmos Policy: Fine-Tuning Video Models for Visuomotor Control and Planning,98.2,98.0,0.0020000000000000018,0.98,0.006,0.014,not_significant
CycleVLA: Proactive Self-Correcting Vision-Language-Action Models via Subtask Backtracking and Minimum Bayes Risk Decoding,91.7,93.0,-0.013000000000000012,0.93,0.006,0.026,negative
DepthCache: Depth-Guided Training-Free Visual Token Merging for Vision-Language-Action Model Inference,98.3,99.0,-0.007000000000000006,0.99,0.006,0.01,negative
Device-Conditioned Neural Architecture Search for Efficient Robotic Manipulation,97.2,97.9,-0.007000000000000117,0.98,0.006,0.014,negative
DFM-VLA: Iterative Action Refinement for Robot Manipulation via Discrete Flow Matching,94.4,91.6,0.028000000000000136,0.916,0.006,0.028,certainly_significant
DiT4DiT: Jointly Modeling Video Dynamics and Actions for Generalizable Robot Control,98.6,98.0,0.006000000000000005,0.98,0.006,0.014,possibly_significant
DualCoT-VLA: Visual-Linguistic Chain of Thought via Parallel Reasoning for Vision-Language-Action Models,97.8,99.8,-0.020000000000000018,0.998,,,negative
DyQ-VLA: Temporal-Dynamic-Aware Quantization for Embodied Vision-Language-Action Models,78.5,79.2,-0.007000000000000006,0.792,0.006,0.046,negative
DySL-VLA: Efficient Vision-Language-Action Model Inference via Dynamic-Static Layer-Skipping for Robot Manipulation,97.0,97.9,-0.009000000000000119,0.98,0.006,0.014,negative
Efficient Long-Horizon Vision-Language-Action Models via Static-Dynamic Disentanglement,96.2,96.2,0.0,0.962,0.006,0.018,not_significant
Fast-dVLA: Accelerating Discrete Diffusion VLA to Real-Time Performance,97.6,98.0,-0.0040000000000000036,0.98,0.006,0.014,negative
Fast-ThinkAct: Efficient Vision-Language-Action Reasoning via Verbalizable Latent Planning,90.2,87.6,0.026000000000000134,0.876,0.006,0.036,possibly_significant
Fast-WAM: Do World Action Models Need Test-time Future Imagination?,97.0,98.0,-0.010000000000000009,0.98,0.006,0.014,negative
FASTER: Rethinking Real-Time Flow VLAs,97.6,98.0,-0.0040000000000000036,0.98,0.006,0.014,negative
FlowHijack: A Dynamics-Aware Backdoor Attack on Flow-Matching Vision-Language-Action Models,97.8,95.8,0.020000000000000018,0.958,0.006,0.02,certainly_significant
From Noise to Intent: Anchoring Generative VLA Policies with Residual Bridges,97.4,97.9,-0.0050000000000000044,0.98,0.006,0.014,negative
From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,95.8,97.9,-0.02100000000000013,0.98,0.006,0.014,negative
Generative Control as Optimization: Time Unconditional Flow Matching for Adaptive and Robust Robotic Control,96.4,98.0,-0.015999999999999903,0.98,0.006,0.014,negative
GST-VLA: Structured Gaussian Spatial Tokens for 3D Depth-Aware Vision-Language-Action Models,97.1,95.1,0.020000000000000018,0.952,0.006,0.022,possibly_significant
HeiSD: Hybrid Speculative Decoding for Embodied Vision-Language-Action Models with Kinematic Awareness,73.0,71.0,0.020000000000000018,0.71,0.006,0.054,possibly_significant
HoloBrain-0 Technical Report,97.6,98.0,-0.0040000000000000036,0.98,0.006,0.014,negative
JEPA-VLA: Video Predictive Embedding is Needed for VLA Models,95.6,96.2,-0.006000000000000116,0.962,0.006,0.018,negative
Joint-Aligned Latent Action: Towards Scalable VLA Pretraining in the Wild,97.4,95.8,0.016000000000000125,0.958,0.006,0.02,possibly_significant
KERV: Kinematic-Rectified Speculative Decoding for Embodied VLA Models,75.6,76.2,-0.006000000000000116,0.762,0.006,0.05,negative
LaMP: Learning Vision-Language-Action Policies with 3D Scene Flow as Latent Motion Prior,97.4,98.0,-0.005999999999999894,0.98,0.006,0.014,negative
LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,99.4,98.0,0.014000000000000123,0.98,0.006,0.014,certainly_significant
LangGap: Diagnosing and Closing the Language Gap in Vision-Language-Action Models,77.0,97.0,-0.19999999999999996,0.97,0.006,0.016,negative
Language-Grounded Decoupled Action Representation for Robotic Manipulation,93.6,94.2,-0.006000000000000116,0.942,0.006,0.024,negative
LAR-MoE: Latent-Aligned Routing for Mixture of Experts in Robotic Imitation Learning,96.0,98.0,-0.020000000000000018,0.98,0.006,0.014,negative
Latent Bridge: Feature Delta Prediction for Efficient Dual-System Vision-Language-Action Model Inference,97.33,97.0,0.0032999999999999696,0.97,0.006,0.016,not_significant
Learning Diffusion Policy from Primitive Skills for Robot Manipulation,95.6,91.9,0.03699999999999992,0.92,0.006,0.028,certainly_significant
Learning Physics from Pretrained Video Models: A Multimodal Continuous and Sequential World Interaction Models for Robotic Manipulation,93.8,89.0,0.04799999999999993,0.89,0.006,0.034,certainly_significant
Learning to Accelerate Vision-Language-Action Models through Adaptive Visual Token Caching,76.6,76.4,0.0019999999999998908,0.764,0.006,0.05,not_significant
LIBERO-Para: A Diagnostic Benchmark and Metrics for Paraphrase Robustness in VLA Models,98.8,98.8,0.0,0.988,0.006,0.01,not_significant
Libra-VLA: Achieving Learning Equilibrium via Asynchronous Coarse-to-Fine Dual-System,98.0,98.0,0.0,0.98,0.006,0.014,not_significant
$M^2$-VLA: Boosting Vision-Language Models for Generalizable Manipulation via Layer Mixture and Meta-Skills,97.2,91.6,0.05600000000000005,0.916,0.006,0.028,certainly_significant
Mask World Model: Predicting What Matters for Robust Robot Policy Learning,98.2,95.8,0.02400000000000002,0.958,0.006,0.02,certainly_significant
MMaDA-VLA: Large Diffusion Vision-Language-Action Model with Unified Multi-Modal Instruction and Generation,98.0,98.0,0.0,0.98,0.006,0.014,not_significant
MoIRA: Modular instruction routing architecture for multi-task robotics,93.0,97.0,-0.039999999999999925,0.97,0.006,0.016,negative
MVP-LAM: Learning Action-Centric Latent Action via Cross-Viewpoint Reconstruction,94.8,95.8,-0.010000000000000009,0.958,0.006,0.02,negative
Neural Implicit Action Fields: From Discrete Waypoints to Continuous Functions for Vision-Language-Action Models,98.0,95.8,0.02200000000000002,0.958,0.006,0.02,certainly_significant
OFlow: Injecting Object-Aware Temporal Flow Matching for Robust Robotic Manipulation,95.0,95.8,-0.008000000000000007,0.958,0.006,0.02,negative
OmniVLA-RL: A Vision-Language-Action Model with Spatial Understanding and Online RL,98.5,98.0,0.0050000000000000044,0.98,0.006,0.014,not_significant
OxyGen: Unified KV Cache Management for Vision-Language-Action Models under Multi-Task Parallelism,97.4,98.0,-0.005999999999999894,0.98,0.006,0.014,negative
PALM: Progress-Aware Policy Learning via Affordance Reasoning for Long-Horizon Robotic Manipulation,94.3,87.6,0.06700000000000006,0.876,0.006,0.036,certainly_significant
Phantom Menace: Exploring and Enhancing the Robustness of VLA Models Against Physical Sensor Attacks,97.9,97.9,0.0,0.98,0.006,0.014,not_significant
PokeVLA: Empowering Pocket-Sized Vision-Language-Action Model with Comprehensive World Knowledge Guidance,98.4,98.8,-0.0039999999999998925,0.988,0.006,0.01,negative
Pri4R: Learning World Dynamics for Vision-Language-Action Models with Privileged 4D Representation,98.1,96.4,0.016999999999999904,0.964,0.006,0.018,possibly_significant
Privileged Foresight Distillation: Zero-Cost Future Correction for World Action Models,99.2,98.0,0.01200000000000001,0.98,0.006,0.014,possibly_significant
ProgressVLA: Progress-Guided Diffusion Policy for Vision-Language Robotic Manipulation,87.2,85.4,0.017999999999999905,0.854,0.006,0.038,possibly_significant
QuantVLA: Scale-Calibrated Post-Training Quantization for Vision-Language-Action Models,98.0,97.5,0.0050000000000000044,0.976,0.006,0.014,not_significant
QVLA: Not All Channels Are Equal in Vision-Language-Action Model's Quantization,96.4,97.9,-0.015000000000000013,0.98,0.006,0.014,negative
Recurrent-Depth VLA: Implicit Test-Time Compute Scaling of Vision-Language-Action Models via Latent Iterative Reasoning,96.0,91.0,0.04999999999999993,0.91,0.006,0.03,certainly_significant
Reshaping Action Error Distributions for Reliable Vision-Language-Action Models,98.2,96.4,0.017999999999999905,0.964,0.006,0.018,possibly_significant
Restoring Linguistic Grounding in VLA Models via Train-Free Attention Recalibration,98.2,98.0,0.0020000000000000018,0.98,0.006,0.014,not_significant
Rethinking Progression of Memory State in Robotic Manipulation: An Object-Centric Perspective,83.0,75.5,0.07499999999999996,0.756,0.006,0.05,certainly_significant
