paper_name,calvin_abc_d_atc,calvin_abc_d_prev_sota_atc,delta_calvin_abc_d_atc,P_A,Delta_necessary,Delta_sufficient,delta_bin
TempoFit: Plug-and-Play Layer-Wise Temporal KV Memory for Long-Horizon Vision-Language-Action Manipulation,3.87,3.83,0.040000000000000036,3.83,0.003,0.172,possibly_significant
Think Proprioceptively: Embodied Visual Reasoning for VLA Manipulation,4.55,4.53,0.019999999999999574,4.53,0.003,0.107,possibly_significant
UAOR: Uncertainty-aware Observation Reinjection for Vision-Language-Action Models,3.67,3.55,0.1200000000000001,3.55,0.003,0.192,possibly_significant
UniLACT: Depth-Aware RGB Latent Action Learning for Vision-Language-Action Models,3.1,3.06,0.040000000000000036,3.06,0.003,0.223,possibly_significant
Unmasking the Illusion of Embodied Reasoning in Vision-Language-Action Models,4.086,4.244,-0.15799999999999947,4.244,0.003,0.137,negative
VAMPO: Policy Optimization for Improving Visual Dynamics in Video Action Models,4.56,4.37,0.1899999999999995,4.37,0.003,0.124,certainly_significant
VISTA: Enhancing Visual Conditioning via Track-Following Preference Optimization in Vision-Language-Action Models,4.02,3.95,0.0699999999999994,3.95,0.003,0.162,possibly_significant
vla-eval: A Unified Evaluation Harness for Vision-Language-Action Models,4.3,4.43,-0.1299999999999999,4.43,0.003,0.118,negative
VLA-IAP: Training-Free Visual Token Pruning via Interaction Alignment for Vision-Language-Action Models,4.45,4.43,0.020000000000000462,4.43,0.003,0.118,possibly_significant
VLM4VLA: Revisiting Vision-Language-Models in Vision-Language-Action Models,4.142,3.509,0.6330000000000005,3.509,0.003,0.194,certainly_significant
World Model for Robot Learning: A Comprehensive Survey,4.44,4.44,0.0,4.44,0.003,0.117,not_significant
Xiaomi-Robotics-0: An Open-Sourced Vision-Language-Action Model with Real-Time Execution,4.75,4.53,0.21999999999999975,4.53,0.003,0.107,certainly_significant
3D Dynamics-Aware Manipulation: Endowing Manipulation Policies with 3D Foresight,4.23,4.08,0.15000000000000036,4.08,0.003,0.151,possibly_significant
ADPro: a Test-time Adaptive Diffusion Policy via Manifold-constrained Denoising and Task-aware Initialization for Robotic Manipulation,3.64,3.35,0.29000000000000004,3.35,0.003,0.205,certainly_significant
AR-VRM: Imitating Human Motions for Visual Robot Manipulation with Analogical Reasoning,3.29,3.06,0.22999999999999998,3.06,0.003,0.223,certainly_significant
Autoregressive Flow Matching for Motion Prediction,3.74,3.31,0.43000000000000016,3.31,0.003,0.207,certainly_significant
AVA-VLA: Improving Vision-Language-Action models with Active Visual Attention,4.65,4.53,0.1200000000000001,4.53,0.003,0.107,certainly_significant
BEAST: Efficient Tokenization of B-Splines Encoded Action Sequences for Imitation Learning,4.42,4.29,0.1299999999999999,4.29,0.003,0.132,possibly_significant
CEED-VLA: Consistency Vision-Language-Action Model with Early-Exit Decoding,3.67,3.7,-0.03000000000000025,3.7,0.003,0.181,negative
CoMo: Learning Continuous Latent Motion from Internet Videos for Scalable Robot Learning,3.247,2.255,0.992,2.255,0.003,0.254,certainly_significant
Dexbotic: Open-Source Vision-Language-Action Toolbox,4.063,3.47,0.5929999999999995,3.47,0.003,0.197,certainly_significant
Diffusion Trajectory-guided Policy for Long-horizon Robot Manipulation,3.43,3.27,0.16000000000000014,3.27,0.003,0.21,possibly_significant
DISCO: Language-Guided Manipulation With Diffusion Policies and Constrained Inpainting,3.57,3.27,0.2999999999999998,3.27,0.003,0.21,certainly_significant
Dita: Scaling Diffusion Transformer for Generalist Vision-Language-Action Policy,3.61,4.04,-0.43000000000000016,4.04,0.003,0.155,negative
DreamVLA: A Vision-Language-Action Model Dreamed with Comprehensive World Knowledge,4.44,4.29,0.15000000000000036,4.29,0.003,0.132,certainly_significant
EL3DD: Extended Latent 3D Diffusion for Language Conditioned Multitask Manipulation,4.09,3.34,0.75,3.34,0.003,0.206,certainly_significant
EnerVerse: Envisioning Embodied Future Space for Robotics Manipulation,3.0,3.27,-0.27,3.27,0.003,0.21,negative
FLOWER: Democratizing Generalist Robot Policies with Efficient Vision-Language-Action Flow Policies,4.53,4.29,0.2400000000000002,4.29,0.003,0.132,certainly_significant
From Spatial to Actions: Grounding Vision-Language-Action Model in Spatial Foundation Priors,4.4,4.28,0.1200000000000001,4.28,0.003,0.133,possibly_significant
FT-NCFM: An Influence-Aware Data Distillation Framework for Efficient VLA Models,3.47,3.65,-0.17999999999999972,3.65,0.003,0.185,negative
GEVRM: Goal-Expressive Video Generation Model For Robust Visual Manipulation,2.83,2.69,0.14000000000000012,2.69,0.003,0.244,possibly_significant
GraspCorrect: Robotic Grasp Correction via Vision-Language Model-Guided Feedback,4.5,4.4,0.09999999999999964,4.4,0.003,0.121,possibly_significant
GR-MG: Leveraging Partially-Annotated Data via Multi-Modal Goal-Conditioned Policy,4.04,3.35,0.69,3.35,0.003,0.205,certainly_significant
"HiF-VLA: Hindsight, Insight and Foresight through Motion Representation for Vision-Language-Action Models",4.35,4.33,0.019999999999999574,4.33,0.003,0.128,possibly_significant
LLaDA-VLA: Vision Language Diffusion Action Models,4.01,3.27,0.7399999999999998,3.27,0.003,0.21,certainly_significant
MoWM: Mixture-of-World-Models for Embodied Planning via Latent-to-Pixel Feature Modulation,4.1,3.92,0.17999999999999972,3.92,0.003,0.165,certainly_significant
$\pi_\texttt{RL}$: Online RL Fine-tuning for Flow-based Vision-Language-Action Models,4.717,3.838,0.8789999999999996,3.838,0.003,0.171,certainly_significant
Pixel Motion as Universal Representation for Robot Control,3.81,4.44,-0.6300000000000003,4.44,0.003,0.117,negative
Pixel Motion Diffusion is What We Need for Robot Control,4.1,4.44,-0.34000000000000075,4.44,0.003,0.117,negative
PointMapPolicy: Structured Point Cloud Processing for Multi-Modal Imitation Learning,4.01,4.28,-0.27000000000000046,4.28,0.003,0.133,negative
RFTF: Reinforcement Fine-tuning for Embodied Agents with Temporal Feedback,4.296,4.283,0.0129999999999999,4.283,0.003,0.133,possibly_significant
RoboBERT: An End-to-end Multimodal Robotic Manipulation Model,3.79,3.39,0.3999999999999999,3.39,0.003,0.202,certainly_significant
RoboFlamingo-Plus: Fusion of Depth and RGB Perception with Vision-Language Models for Enhanced Robotic Manipulation,3.0,2.062,0.9380000000000002,2.062,0.003,0.243,certainly_significant
RoVer: Robot Reward Model as Test-Time Verifier for Vision-Language-Action Model,4.12,4.01,0.11000000000000032,4.01,0.003,0.157,possibly_significant
Seeing Space and Motion: Enhancing Latent Actions with Geometric and Dynamic Awareness for Vision-Language-Action Models,4.38,4.29,0.08999999999999986,4.29,0.003,0.132,possibly_significant
TriVLA: A Triple-System-Based Unified Vision-Language-Action Model with Episodic World Modeling for General Robot Control,4.37,4.33,0.040000000000000036,4.33,0.003,0.128,possibly_significant
Unified Vision-Language-Action Model,4.41,4.28,0.1299999999999999,4.28,0.003,0.133,possibly_significant
Unifying Perception and Action: A Hybrid-Modality Pipeline with Implicit Visual Chain-of-Thought for Robotic Action Generation,4.73,4.51,0.22000000000000064,4.51,0.003,0.109,certainly_significant
UniVLA: Learning to Act Anywhere with Task-centric Latent Actions,3.8,3.66,0.13999999999999968,3.66,0.003,0.184,possibly_significant
Unveiling the Potential of Vision-Language-Action Models with Open-Ended Multimodal Instructions,2.99,2.7,0.29000000000000004,2.7,0.003,0.243,certainly_significant
UP-VLA: A Unified Understanding and Prediction Model for Embodied Agent,4.08,3.35,0.73,3.35,0.003,0.205,certainly_significant
ViSA-Flow: Accelerating Robot Skill Learning via Large-Scale Video Semantic Action Flow,2.96,2.69,0.27,2.69,0.003,0.244,certainly_significant
VITA-VLA: Efficiently Teaching Vision-Language Models to Act via Action Expert Distillation,3.18,3.76,-0.5799999999999996,3.76,0.003,0.177,negative
VLA-Adapter: An Effective Paradigm for Tiny-Scale Vision-Language-Action Model,4.42,4.33,0.08999999999999986,4.33,0.003,0.128,possibly_significant
VLAS: Vision-Language-Action Model With Speech Instructions For Customized Robot Manipulation,2.4,2.48,-0.08000000000000007,2.48,0.003,0.255,negative
X-VLA: Soft-Prompted Transformer as Scalable Cross-Embodiment Vision-Language-Action Model,4.43,4.53,-0.10000000000000053,4.53,0.003,0.107,negative
3D Diffuser Actor: Policy Diffusion with 3D Scene Representations,3.35,3.06,0.29000000000000004,3.06,0.003,0.223,certainly_significant
Astra: Efficient Transformer Architecture and Contrastive Dynamics Learning for Embodied Instruction Following,3.29,3.06,0.22999999999999998,3.06,0.003,0.223,certainly_significant
Closed-Loop Visuomotor Control with Generative Expectation for Robotic Manipulation,3.53,3.27,0.2599999999999998,3.27,0.003,0.21,certainly_significant
DeeR-VLA: Dynamic Inference of Multimodal Large Language Models for Efficient Robot Execution,2.9,3.06,-0.16000000000000014,3.06,0.003,0.223,negative
Diffusion Transformer Policy,3.61,3.27,0.33999999999999986,3.27,0.003,0.21,certainly_significant
Efficient Diffusion Transformer Policies with Mixture of Expert Denoisers for Multitask Learning,4.01,3.06,0.9499999999999997,3.06,0.003,0.223,certainly_significant
From LLMs to Actions: Latent Codes as Bridges in Hierarchical Robot Control,1.78,1.42,0.3600000000000001,1.42,0.003,0.203,certainly_significant
GHIL-Glue: Hierarchical Control with Filtered Subgoal Images,3.69,2.94,0.75,2.94,0.003,0.23,certainly_significant
Moto: Latent Motion Token as the Bridging Language for Learning Robot Manipulation from Videos,3.1,3.06,0.040000000000000036,3.06,0.003,0.223,possibly_significant
Predictive Inverse Dynamics Models are Scalable Learners for Robotic Manipulation,4.28,3.53,0.7500000000000004,3.53,0.003,0.193,certainly_significant
RoboUniView: Visual-Language Model with Unified View Representation for Robotic Manipulation,3.647,3.27,0.3769999999999998,3.27,0.003,0.21,certainly_significant
"Towards Synergistic, Generalized, and Efficient Dual-System for Robotic Manipulation",3.66,3.27,0.3900000000000001,3.27,0.003,0.21,certainly_significant
Video Prediction Policy: A Generalist Robot Policy with Predictive Visual Representations,4.33,3.65,0.6800000000000002,3.65,0.003,0.185,certainly_significant
VidMan: Exploiting Implicit Dynamics from Video Diffusion Model for Effective Robot Manipulation,3.42,3.35,0.06999999999999984,3.35,0.003,0.205,possibly_significant
What Matters in Building Vision-Language-Action Models for Generalist Robots,4.25,3.06,1.19,3.06,0.003,0.223,certainly_significant
Language-Conditioned Imitation Learning with Base Skill Priors under Unstructured Data,1.71,3.27,-1.56,3.27,0.003,0.21,negative
Policy Adaptation from Foundation Model Feedback,1.73,1.48,0.25,1.48,0.003,0.207,certainly_significant
Unleashing Large-Scale Video Generative Pre-training for Visual Robot Manipulation,3.06,0.93,2.13,0.93,0.003,0.166,certainly_significant
Vision-Language Foundation Models as Effective Robot Imitators,2.48,0.9,1.58,0.9,0.003,0.163,certainly_significant
Zero-Shot Robotic Manipulation with Pretrained Image-Editing Diffusion Models,2.69,1.48,1.21,1.48,0.003,0.207,certainly_significant
What Matters in Language Conditioned Robotic Imitation Learning Over Unstructured Data,0.67,0.31,0.36000000000000004,0.31,0.003,0.099,certainly_significant
D IFFUSION T RAJECTORY - GUIDED P OLICY : A N OVEL F RAMEWORK FOR L ONG -H ORIZON R OBOT M ANIPU - LATION,3.43,3.27,0.16000000000000014,3.27,0.003,0.21,possibly_significant
